Aug 26 09:43:44 k8s-testn2 systemd[1]: kubelet.service failed.
Aug 26 09:43:54 k8s-testn2 systemd[1]: kubelet.service holdoff time over, scheduling restart.
Aug 26 09:43:54 k8s-testn2 systemd[1]: Stopped Kubernetes Kubelet Server.
Aug 26 09:43:54 k8s-testn2 systemd[1]: Starting Kubernetes Kubelet Server...
Aug 26 09:43:54 k8s-testn2 systemd[1]: Started Kubernetes Kubelet Server.
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.371222   18749 server.go:417] Version: v1.18.4
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.371721   18749 plugins.go:100] No cloud provider specified.
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.371751   18749 server.go:838] Client rotation is on, will bootstrap in background
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.386525   18749 certificate_store.go:130] Loading cert/key pair from "/var/lib/kubelet/pki/kubelet-client-current.pem".
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.387646   18749 dynamic_cafile_content.go:167] Starting client-ca-bundle::/etc/kubernetes/pki/ca.crt
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.480616   18749 server.go:647] --cgroups-per-qos enabled, but --cgroup-root was not specified.  defaulting to /
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.481062   18749 container_manager_linux.go:266] container manager verified user specified cgroup-root exists: []
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.481079   18749 container_manager_linux.go:271] Creating Container Manager object based on Node Config: {RuntimeCgroupsName: SystemCgroupsName: KubeletCgroupsName: ContainerRuntime:docker CgroupsPerQOS:true CgroupRoot:/ CgroupDriver:cgroupfs KubeletRootDir:/var/lib/kubelet ProtectKernelDefaults:false NodeAllocatableConfig:{KubeReservedCgroupName: SystemReservedCgroupName: ReservedSystemCPUs: EnforceNodeAllocatable:map[pods:{}] KubeReserved:map[] SystemReserved:map[] HardEvictionThresholds:[{Signal:nodefs.available Operator:LessThan Value:{Quantity:<nil> Percentage:0.1} GracePeriod:0s MinReclaim:<nil>} {Signal:nodefs.inodesFree Operator:LessThan Value:{Quantity:<nil> Percentage:0.05} GracePeriod:0s MinReclaim:<nil>} {Signal:imagefs.available Operator:LessThan Value:{Quantity:<nil> Percentage:0.15} GracePeriod:0s MinReclaim:<nil>} {Signal:memory.available Operator:LessThan Value:{Quantity:100Mi Percentage:0} GracePeriod:0s MinReclaim:<nil>}]} QOSReserved:map[] ExperimentalCPUManagerPolicy:none ExperimentalCPUManagerReconcilePeriod:10s ExperimentalPodPidsLimit:-1 EnforceCPULimits:true CPUCFSQuotaPeriod:100ms ExperimentalTopologyManagerPolicy:none}
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.481180   18749 topology_manager.go:126] [topologymanager] Creating topology manager with none policy
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.481188   18749 container_manager_linux.go:301] [topologymanager] Initializing Topology Manager with none policy
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.481193   18749 container_manager_linux.go:306] Creating device plugin manager: true
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.481276   18749 client.go:75] Connecting to docker on unix:///var/run/docker.sock
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.481288   18749 client.go:92] Start docker client with request timeout=2m0s
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: W0826 09:43:54.494578   18749 docker_service.go:561] Hairpin mode set to "promiscuous-bridge" but kubenet is not enabled, falling back to "hairpin-veth"
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.494603   18749 docker_service.go:238] Hairpin mode set to "hairpin-veth"
Aug 26 09:43:54 k8s-testn2 kubelet[18749]: I0826 09:43:54.521279   18749 docker_service.go:253] Docker cri networking managed by kubernetes.io/no-op
